conf_dir: /tmp/tmpg3xoxbt7/abacus-apex-joint-1eu4p/confs/fcc-Al-eos-00--post/workdir/tmp/inputs/artifacts/input_all/tmp/tmpf1tm8cgg/confs/fcc-Al/eos_00
 VpA(A^3)  EpA(eV)
  9.939  -1881.6255 
 10.768  -1882.1452 
 11.596  -1882.5172 
 12.424  -1882.7790 
 13.252  -1882.9583 
 14.081  -1883.0736 
 14.909  -1883.1454 
 15.737  -1883.1826 
 16.566  -1883.1936 
 17.394  -1883.1843 
 18.222  -1883.1573 
 19.050  -1883.1220 
 19.879  -1883.0787 
 20.707  -1883.0290 
 21.535  -1882.9755 
 22.363  -1882.9188 
